time(h),formaldehyde(ug/m³)
14.0666666666667,755.0
14.1,812.6
14.1333333333333,763.1
14.1666666666667,758.8
14.2,880.8
14.2333333333333,900.0
14.2666666666667,821.8
14.3,831.5
14.3333333333333,832.3
14.3666666666667,805.1
14.4,759.6
14.4333333333333,842.2
14.4666666666667,844.6
14.5,804.5
14.5333333333333,787.7
14.5666666666667,822.5
14.6,800.5
14.6333333333333,783.6
14.6666666666667,780.7
14.7,731.3
14.7333333333333,751.3
14.7666666666667,751.7
14.8,777.1
14.8333333333333,748.8
14.8666666666667,810.7
14.9,720.6
14.9333333333333,742.8
14.9666666666667,677.8
15.0,819.4
15.0333333333333,805.1
15.0666666666667,675.6
15.1,819.8
15.1333333333333,711.5
15.1666666666667,743.2
15.2,689.9
15.2333333333333,777.3
15.2666666666667,731.7
15.3,771.1
15.3333333333333,806.2
15.3666666666667,804.9
15.4,803.0
15.4333333333333,693.1
15.4666666666667,779.8
15.5,755.4
15.5333333333333,821.8
15.5666666666667,748.7
15.6,698.9
15.6333333333333,727.3
15.6666666666667,728.5
15.7,798.2
15.7333333333333,736.5
15.7666666666667,700.9
15.8,807.8
15.8333333333333,731.1
15.8666666666667,780.1
15.9,694.4
15.9333333333333,714.8
15.9666666666667,766.2
16.0,733.1
16.0333333333333,730.0
16.0666666666667,664.6
16.1,726.9
16.1333333333333,716.1
16.1666666666667,813.2
16.2,754.9
16.2333333333333,846.5
16.2666666666667,765.2
16.3,691.5
16.3333333333333,660.0
16.3666666666667,660.6
16.4,776.1
16.4333333333333,779.4
16.4666666666667,741.2
16.5,760.2
16.5333333333333,830.5
16.5666666666667,700.7
16.6,719.4
16.6333333333333,778.2
16.6666666666667,712.8
16.7,663.6
16.7333333333333,724.7
16.7666666666667,770.4
16.8,781.5
16.8333333333333,668.4
16.8666666666667,690.2
16.9,749.8
16.9333333333333,750.1
16.9666666666667,719.9
17.0,759.6
17.0333333333333,752.2
17.0666666666667,714.2
17.1,677.6
17.1333333333333,700.5
17.1666666666667,762.2
17.2,698.3
17.2333333333333,778.7
17.2666666666667,708.1
17.3,667.3
17.3333333333333,649.0
17.3666666666667,635.0
17.4,665.6
17.4333333333333,741.8
17.4666666666667,720.9
17.5,709.9
17.5333333333333,795.1
17.5666666666667,679.9
17.6,750.3
17.6333333333333,723.5
17.6666666666667,692.2
17.7,796.1
17.7333333333333,773.9
17.7666666666667,718.9
17.8,719.6
17.8333333333333,685.4
17.8666666666667,826.4
17.9,794.5
17.9333333333333,723.2
17.9666666666667,746.6
18.0,755.4
18.0333333333333,754.0
18.0666666666667,739.1
18.1,749.6
18.1333333333333,730.6
18.1666666666667,685.3
18.2,654.8
18.2333333333333,770.0
18.2666666666667,736.1
18.3,708.4
18.3333333333333,705.6
18.3666666666667,771.1
18.4,712.5
18.4333333333333,765.8
18.4666666666667,697.2
18.5,684.5
18.5333333333333,627.5
18.5666666666667,710.9
18.6,739.1
18.6333333333333,737.3
18.6666666666667,701.8
18.7,602.5
18.7333333333333,698.6
18.7666666666667,696.2
18.8,675.4
18.8333333333333,729.8
18.8666666666667,628.1
18.9,723.4
18.9333333333333,656.4
18.9666666666667,644.7
19.0,631.5
19.0333333333333,628.5
19.0666666666667,736.3
19.1,658.3
19.1333333333333,705.7
19.1666666666667,648.8
19.2,674.8
19.2333333333333,672.4
19.2666666666667,718.1
19.3,749.7
19.3333333333333,629.5
19.3666666666667,709.4
19.4,672.8
19.4333333333333,658.3
19.4666666666667,700.3
19.5,625.2
19.5333333333333,695.2
19.5666666666667,633.1
19.6,723.0
19.6333333333333,710.3
19.6666666666667,685.7
19.7,582.8
19.7333333333333,676.9
19.7666666666667,721.9
19.8,682.5
19.8333333333333,788.6
19.8666666666667,677.6
19.9,623.1
19.9333333333333,672.5
19.9666666666667,682.2
20.0,658.8
20.0333333333333,674.1
20.0666666666667,635.5
20.1,687.6
20.1333333333333,612.9
20.1666666666667,635.6
20.2,648.8
20.2333333333333,630.2
20.2666666666667,694.8
20.3,712.0
20.3333333333333,574.0
20.3666666666667,640.5
20.4,648.4
20.4333333333333,679.6
20.4666666666667,598.5
20.5,671.6
20.5333333333333,627.9
20.5666666666667,574.6
20.6,658.1
20.6333333333333,637.1
20.6666666666667,639.8
20.7,685.6
20.7333333333333,632.9
20.7666666666667,665.2
20.8,657.8
20.8333333333333,650.3
20.8666666666667,573.6
20.9,527.42
20.9333333333333,631.3
20.9666666666667,589.7
21.0,577.0
21.0333333333333,732.2
21.0666666666667,622.2
21.1,631.8
21.1333333333333,647.0
21.1666666666667,616.4
21.2,703.9
21.2333333333333,527.56
21.2666666666667,645.9
21.3,574.0
21.3333333333333,689.3
21.3666666666667,689.7
21.4,620.5
21.4333333333333,664.5
21.4666666666667,645.0
21.5,640.5
21.5333333333333,624.9
21.5666666666667,660.8
21.6,637.7
21.6333333333333,639.1
21.6666666666667,617.7
21.7,700.6
21.7333333333333,643.9
21.7666666666667,673.8
21.8,706.6
21.8333333333333,687.3
21.8666666666667,677.2
21.9,611.8
21.9333333333333,711.7
21.9666666666667,635.5
22.0,598.5
22.0333333333333,681.1
22.0666666666667,592.9
22.1,689.7
22.1333333333333,625.7
22.1666666666667,719.1
22.2,702.2
